Distance(au)                    Energy(au)
2.8063                    -1.064265400944
2.8109                    -1.063876679053
2.8156                    -1.063480111333
2.8203                    -1.06308415616
2.825                    -1.062688814991
2.8296                    -1.062302481195
2.8343                    -1.061908358994
2.839                    -1.061514854859
2.8437                    -1.061121970064
2.8483                    -1.060738045606
2.853                    -1.060346390325
2.8577                    -1.059955358296
2.8624                    -1.059564950781
2.8671                    -1.059175169022
2.8717                    -1.058794287563
2.8764                    -1.058405747571
2.8811                    -1.058017836911
2.8858                    -1.057630556745
2.8904                    -1.057252128152
2.8951                    -1.056866098865
2.8998                    -1.056480703431
2.9045                    -1.056095942876
2.9092                    -1.055711818285
2.9138                    -1.055336483349
2.9185                    -1.054953620147
2.9232                    -1.0545713959
2.9279                    -1.054189811569
2.9325                    -1.053816966594
2.9372                    -1.053436651219
2.9419                    -1.053056978479
2.9466                    -1.052677949237
2.9513                    -1.052299564307
2.9559                    -1.051929854802
2.9606                    -1.051552747207
2.9653                    -1.05117628622
2.97                    -1.050800472647
2.9746                    -1.050433282697
2.9793                    -1.05005875222
2.984                    -1.049684871162
2.9887                    -1.049311640151
2.9933                    -1.048946980258
2.998                    -1.048575037272
3.0027                    -1.048203746063
3.0074                    -1.04783310716
3.0121                    -1.047463121068
3.0167                    -1.047101639609
3.0214                    -1.046732946645
3.0261                    -1.04636490786
3.0308                    -1.045997523664
3.0354                    -1.045638590378
3.0401                    -1.045272502564
3.0448                    -1.044907070445
3.0495                    -1.044542294334
3.0542                    -1.044178174568
3.0588                    -1.043822437846
3.0635                    -1.043459617594
3.0682                    -1.04309745451
3.0729                    -1.042735948814
3.0775                    -1.042382771488
3.0822                    -1.04202256716
3.0869                    -1.041663020883
3.0916                    -1.041304132725
3.0962                    -1.040953517949
3.1009                    -1.040595932664
3.1056                    -1.040239006006
3.1103                    -1.039882738115
3.115                    -1.039527129116
3.1196                    -1.039179724384
3.1243                    -1.038825419474
3.129                    -1.03847177377
3.1337                    -1.038118787332
3.1383                    -1.037773949731
3.143                    -1.037422268103
3.1477                    -1.037071245966
3.1524                    -1.036720883413
3.1571                    -1.03637118048
3.1617                    -1.036029556795
3.1664                    -1.035681159177
3.1711                    -1.035333421326
3.1758                    -1.034986343251
3.1804                    -1.034647288709
3.1851                    -1.034301516216
3.1898                    -1.03395640356
3.1945                    -1.033611950695
3.1991                    -1.033275465598
3.2038                    -1.032932318432
3.2085                    -1.032589831097
3.2132                    -1.032248003588
3.2179                    -1.031906835883
3.2225                    -1.031573565914
3.2272                    -1.031233703694
3.2319                    -1.030894501184
3.2366                    -1.030555958335
3.2412                    -1.030225257235
3.2459                    -1.029888019487
3.2506                    -1.029551441223
3.2553                    -1.029215522389
3.26                    -1.028880262874
3.2646                    -1.028552774866
3.2693                    -1.028218819678
3.274                    -1.027885523503
3.2787                    -1.027552886224
3.2833                    -1.027227964227
3.288                    -1.026896630328
3.2927                    -1.02656595491
3.2974                    -1.026235937811
3.3021                    -1.025906578861
3.3067                    -1.025584864663
3.3114                    -1.02525680746
3.3161                    -1.02492940783
3.3208                    -1.024602665535
3.3254                    -1.024283511536
3.3301                    -1.023958069258
3.3348                    -1.023633283678
3.3395                    -1.023309154453
3.3441                    -1.022992556931
3.3488                    -1.0226697257
3.3535                    -1.022347550002
3.3582                    -1.022026029528
3.3629                    -1.021705210754
3.3675                    -1.021391809764
3.3722                    -1.02107224223
3.3769                    -1.020753327796
3.3816                    -1.020435066065
3.3862                    -1.020124207543
3.3909                    -1.019807236242
3.3956                    -1.019490916473
3.4003                    -1.019175247889
3.405                    -1.018860230062
3.4096                    -1.018552544466
3.4143                    -1.018238813106
3.419                    -1.017925731277
3.4237                    -1.017613298567
3.4283                    -1.017308141508
3.433                    -1.016996991909
3.4377                    -1.016686490245
3.4424                    -1.016376636014
3.447                    -1.016074000923
3.4517                    -1.0157654265
3.4564                    -1.015457498158
3.4611                    -1.01515021555
3.4658                    -1.014843578174
3.4704                    -1.014544089353
3.4751                    -1.014238727385
3.4798                    -1.013934009297
3.4845                    -1.013629934625
3.4891                    -1.013332952187
3.4938                    -1.01303014927
3.4985                    -1.01272798836
3.5032                    -1.01242646897
3.5079                    -1.012125590616
3.5125                    -1.011831734177
3.5172                    -1.011532122771
3.5219                    -1.01123315089
3.5266                    -1.010934818078
3.5312                    -1.010643451052
3.5359                    -1.010346381156
3.5406                    -1.010049948739
3.5453                    -1.00975415325
3.5499                    -1.009465267506
3.5546                    -1.009170730713
3.5593                    -1.008876829204
3.564                    -1.00858356242
