Distance(au)                    Energy(au)
1.33471736                    -1.17450835117
1.33481741                    -1.174511291696
1.33491746                    -1.174514227428
1.33501751                    -1.174517158369
1.33511756                    -1.174520084518
1.33521761                    -1.174523005878
1.33531766                    -1.174525922452
1.33541771                    -1.174528834241
1.33551776                    -1.174531741244
1.33561781                    -1.174534643465
1.33571786                    -1.174537540908
1.33581791                    -1.174540433568
1.33591796                    -1.174543321454
1.33601801                    -1.174546204561
1.33611806                    -1.174549082896
1.33621811                    -1.174551956459
1.33631816                    -1.174554825249
1.33641821                    -1.174557689271
1.33651826                    -1.174560548526
1.33661831                    -1.174563403014
1.33671836                    -1.174566252738
1.33681841                    -1.174569097699
1.33691846                    -1.1745719379
1.33701851                    -1.17457477334
1.33711856                    -1.174577604024
1.33721861                    -1.174580429951
1.33731866                    -1.174583251122
1.33741871                    -1.174586067542
1.33751876                    -1.174588879211
1.33761881                    -1.174591686129
1.33771886                    -1.174594488298
1.33781891                    -1.174597285723
1.33791896                    -1.174600078401
1.33801901                    -1.174602866338
1.33811906                    -1.174605649531
1.33821911                    -1.174608427985
1.33831916                    -1.174611201701
1.33841921                    -1.17461397068
1.33851926                    -1.174616734925
1.33861931                    -1.174619494435
1.33871936                    -1.174622249214
1.33881941                    -1.174624999264
1.33891946                    -1.174627744583
1.33901951                    -1.174630485176
1.33911956                    -1.174633221045
1.33921961                    -1.174635952188
1.33931966                    -1.17463867861
1.33941971                    -1.174641400313
1.33951976                    -1.174644117294
1.33961981                    -1.174646829559
1.33971986                    -1.17464953711
1.33981991                    -1.174652239945
1.33991996                    -1.174654938069
1.34002001                    -1.17465763148
1.34012006                    -1.174660320183
1.34022011                    -1.17466300418
1.34032016                    -1.174665683469
1.34042021                    -1.174668358054
1.34052026                    -1.174671027936
1.34062031                    -1.174673693119
1.34072036                    -1.1746763536
1.34082041                    -1.17467900938
1.34092046                    -1.174681660467
1.34102051                    -1.174684306861
1.34112056                    -1.174686948528
1.34122061                    -1.174689585536
1.34132066                    -1.174692217854
1.34142071                    -1.174694845485
1.34152076                    -1.174697468429
1.34162081                    -1.174700086686
1.34172086                    -1.174702700261
1.34182091                    -1.174705309156
1.34192096                    -1.174707913367
1.34202101                    -1.174710512902
1.34212106                    -1.174713107759
1.34222111                    -1.17471569794
1.34232116                    -1.174718283448
1.34242121                    -1.174720864283
1.34252126                    -1.174723440449
1.34262131                    -1.174726011943
1.34272136                    -1.174728578772
1.34282141                    -1.174731140934
1.34292146                    -1.174733698432
1.34302151                    -1.174736251268
1.34312156                    -1.174738799442
1.34322161                    -1.174741342956
1.34332166                    -1.174743881814
1.34342171                    -1.174746416014
1.34352176                    -1.17474894556
1.34362181                    -1.174751470453
1.34372186                    -1.174753990695
1.34382191                    -1.174756506286
1.34392196                    -1.174759017229
1.34402201                    -1.174761523526
1.34412206                    -1.174764025177
1.34422211                    -1.174766522186
1.34432216                    -1.174769014551
1.34442221                    -1.174771502276
1.34452226                    -1.174773985361
1.34462231                    -1.174776463812
1.34472236                    -1.174778937625
1.34482241                    -1.174781406805
1.34492246                    -1.174783871352
1.34502251                    -1.174786331269
1.34512256                    -1.174788786558
1.34522261                    -1.174791237217
1.34532266                    -1.17479368325
1.34542271                    -1.17479612466
1.34552276                    -1.174798561446
1.34562281                    -1.174800993611
1.34572286                    -1.174803421156
1.34582291                    -1.174805844084
1.34592296                    -1.174808262394
1.34602301                    -1.174810676091
1.34612306                    -1.174813085173
1.34622311                    -1.174815489643
1.34632316                    -1.174817889467
1.34642321                    -1.174820284717
1.34652326                    -1.174822675363
1.34662331                    -1.174825061401
1.34672336                    -1.174827442785
1.34682341                    -1.174829819619
1.34692346                    -1.174832191849
1.34702351                    -1.174834559482
1.34712356                    -1.174836922517
1.34722361                    -1.174839280956
1.34732366                    -1.1748416348
1.34742371                    -1.174843984052
1.34752376                    -1.174846328712
1.34762381                    -1.174848668782
1.34772386                    -1.174851004265
1.34782391                    -1.174853335161
1.34792396                    -1.174855661471
1.34802401                    -1.174857983199
1.34812406                    -1.174860300343
1.34822411                    -1.174862612909
1.34832416                    -1.174864920895
1.34842421                    -1.174867224303
1.34852426                    -1.174869523136
1.34862431                    -1.174871817397
1.34872436                    -1.174874107082
1.34882441                    -1.174876392198
1.34892446                    -1.174878672746
1.34902451                    -1.174880948724
1.34912456                    -1.174883220137
1.34922461                    -1.174885486984
1.34932466                    -1.174887749269
1.34942471                    -1.174890006993
1.34952476                    -1.174892260155
1.34962481                    -1.17489450876
1.34972486                    -1.174896752808
1.34982491                    -1.174898992301
1.34992496                    -1.17490122724
1.35002501                    -1.174903457627
